,id,month,rest_size,application
0,3432,3,36,0
1,3432,8,36,0
2,3432,10,70,0
3,3432,12,36,0
4,3583,1,45,0
5,3583,4,61,0
6,3583,8,36,0
7,11509,3,52,0
8,11509,5,72,0
9,11509,8,36,0
10,11511,3,64,1
11,11511,8,36,0
12,11511,10,60,0
13,11521,6,36,0
14,11521,11,60,0
15,11522,2,59,0
16,11522,6,36,0
17,11522,11,66,0
18,11523,1,68,1
19,11523,6,36,0
20,11523,9,36,0
21,11524,2,58,0
22,11524,5,38,0
23,11524,10,73,0
24,11526,5,54,1
25,11526,7,36,1
26,11526,9,36,0
27,11526,12,36,0
28,11527,1,58,0
29,11527,3,60,0
30,11527,5,63,0
31,11533,6,36,0
32,11533,10,42,0
33,11533,12,36,0
34,11534,3,55,0
35,11534,8,36,0
36,11534,12,36,0
37,11538,1,62,0
38,11538,6,36,0
39,11538,9,36,0
40,11540,5,64,0
41,11540,12,36,0
42,11541,1,73,1
43,11541,5,54,0
44,11546,1,60,1
45,11546,5,49,0
46,11546,9,36,1
47,11548,2,54,0
48,11548,9,36,0
49,11548,11,53,1
50,11549,2,43,0
51,11549,6,36,0
52,11549,10,53,0
53,11549,12,36,0
54,11552,1,65,0
55,11552,4,58,0
56,11552,10,52,0
57,11555,3,37,0
58,11555,5,72,0
59,11555,7,36,0
60,11557,3,60,0
61,11557,7,36,0
62,11557,9,36,1
63,11557,11,52,1
64,11560,1,69,1
65,11560,4,54,1
66,11560,6,36,1
67,11562,1,60,0
68,11562,4,39,0
69,11562,7,36,0
70,11562,10,43,0
71,11563,1,67,0
72,11563,6,36,0
73,11563,8,36,0
74,11564,1,70,0
75,11564,4,66,1
76,11564,8,36,1
77,11565,1,56,0
78,11565,5,67,0
79,11567,3,71,0
80,11567,8,36,0
81,11567,10,51,0
82,11570,2,59,0
83,11570,5,62,0
84,11570,10,48,0
85,11571,3,53,0
86,11571,5,60,0
87,11571,8,36,0
88,11573,11,60,1
89,11576,3,73,0
90,11576,8,36,0
91,11576,10,48,0
92,11578,1,44,0
93,11578,4,41,0
94,11578,9,36,0
95,11578,11,36,0
96,11579,2,63,1
97,11579,4,44,0
98,11579,7,36,0
99,11579,11,40,0
100,11580,3,62,0
101,11580,5,38,0
102,11580,7,36,0
103,11580,11,44,0
