,id,month,rest_size,aplication
0,3718,3,39,0
1,3718,5,46,0
2,3718,7,36,0
3,3718,12,36,0
4,3801,9,36,0
5,3801,12,36,0
6,5701,2,36,0
7,5701,11,39,1
8,5703,3,24,0
9,5703,4,12,1
10,5703,8,36,0
11,5704,1,27,0
12,5704,3,51,0
13,5704,8,36,0
14,5704,12,9,0
15,5721,4,43,0
16,5721,9,36,0
17,5721,12,36,0
18,5722,10,57,1
19,5722,12,36,0
20,11660,3,56,0
21,11660,7,36,1
22,11660,10,36,0
23,11708,1,52,1
24,11708,3,38,0
25,11708,5,57,1
26,11708,8,36,1
27,11873,1,36,0
28,11873,5,57,0
29,11873,9,36,0
30,11878,2,52,0
31,11878,5,52,0
32,11878,7,36,1
33,11886,5,49,0
34,11886,7,36,1
35,11886,11,40,1
36,12179,4,39,0
37,12179,9,36,1
38,12300,1,53,1
39,12300,9,36,1
40,12300,11,37,0
41,12309,8,36,0
42,12309,11,48,0
43,12312,7,36,0
44,12312,9,36,1
45,12312,12,36,0
46,12328,4,42,1
47,12328,6,36,1
48,12328,8,36,0
49,12328,12,36,1
50,12365,1,49,1
51,12365,5,37,1
52,12365,7,36,1
53,12365,10,36,0
54,12372,3,46,1
55,12372,6,36,1
56,12372,8,36,1
57,12375,2,53,1
58,12375,5,40,1
59,12375,10,56,0
60,12392,3,43,1
61,12392,6,36,0
62,12392,11,39,0
63,12394,5,45,1
64,12394,10,46,0
65,12394,12,36,0
66,12435,1,36,0
67,12435,4,43,0
68,12435,6,36,0
69,12435,9,36,1
70,12464,1,57,0
71,12464,4,59,1
72,12464,7,36,0
73,12478,1,39,0
74,12478,4,36,0
75,12480,3,46,0
76,12482,1,52,1
77,12482,8,36,1
78,12482,11,38,0
79,12482,12,7,0
80,12488,3,45,0
81,12488,6,36,0
82,12488,9,36,0
83,12488,12,36,0
84,12491,3,37,1
85,12491,10,36,1
86,12496,3,47,1
87,12496,7,36,1
88,12496,9,36,0
89,12496,12,36,0
90,12511,2,50,0
91,12511,7,36,0
92,12511,12,36,0
93,12528,2,47,0
94,12528,5,39,1
95,12528,7,36,1
96,12528,12,36,0
97,12539,2,50,0
98,12539,6,36,0
99,12539,10,39,0
100,12539,12,36,1
101,13808,2,48,0
102,13808,4,40,0
103,13808,8,36,0
104,13808,11,37,0
105,15066,2,55,0
106,15066,12,36,0
107,15068,1,38,0
108,15068,3,43,0
109,15068,5,49,0
110,15071,4,46,0
111,15071,7,36,1
112,15071,12,36,1
113,15078,2,52,1
114,15078,5,52,1
115,15078,9,36,1
116,15078,12,36,0
117,15121,4,45,1
118,15121,9,36,0
119,15152,2,39,1
120,15152,4,40,0
121,15152,7,36,0
122,15160,1,44,0
123,15160,5,42,0
124,15160,7,36,0
125,15160,10,38,0
126,15175,1,43,0
127,15175,3,53,0
128,15175,6,36,1
129,15175,8,36,1
130,15176,2,40,1
131,15176,8,36,1
132,15202,2,39,0
133,15202,5,49,0
134,15202,8,36,0
135,15202,10,47,0
