,id,month,rest_size,aplication
0,3643,12,53,0
1,3798,1,66,0
2,3798,2,42,0
3,3798,4,51,0
4,3798,10,39,0
5,3798,12,40,0
6,4778,2,50,0
7,4778,5,48,0
8,4799,1,69,0
9,4799,8,41,0
10,5930,7,81,0
11,5974,8,40,0
12,6015,1,70,0
13,6015,3,43,0
14,6015,4,38,0
15,6015,9,59,0
16,6015,12,48,0
17,6018,10,67,0
18,6027,1,84,0
19,6027,4,84,1
20,6027,11,76,0
21,6027,12,89,1
22,11593,4,82,0
23,11593,8,82,0
24,11788,10,40,1
25,11788,12,45,1
26,11881,5,37,0
27,11881,7,38,0
28,11881,8,40,0
29,11881,9,63,0
30,12115,5,67,0
31,12115,9,78,0
32,12115,12,36,0
33,12178,2,70,0
34,12178,7,78,0
35,12178,8,55,0
36,12178,9,61,0
37,12221,1,87,0
38,12221,3,83,0
39,12221,8,79,0
40,12311,1,59,0
41,12311,11,63,0
42,12320,2,74,0
43,12320,7,61,0
44,12364,1,87,1
45,12364,2,83,1
46,12364,3,46,0
47,12364,4,45,1
48,12364,5,38,0
49,12364,7,89,0
50,12364,11,56,0
51,12376,4,47,1
52,12376,6,53,0
53,12376,7,75,1
54,12376,9,61,0
55,12400,8,37,0
56,12417,9,73,0
57,12417,11,71,0
58,12426,1,79,0
59,12426,3,51,0
60,12426,4,59,0
61,12438,4,55,0
62,12443,2,71,0
63,12443,3,83,1
64,12443,5,38,0
65,12443,8,79,0
66,12443,9,36,1
67,12443,11,53,0
68,12469,1,58,0
69,12469,2,74,0
70,12469,12,48,0
71,12475,2,49,0
72,12477,6,55,0
73,12477,8,55,0
74,12483,1,85,0
75,12483,2,46,0
76,12483,3,82,1
77,12483,5,75,1
78,12483,10,74,0
79,12483,12,76,1
80,12556,2,51,1
81,12556,7,64,0
82,12588,2,54,0
83,12588,5,39,0
84,12588,9,59,0
85,12595,11,54,0
86,12601,2,64,0
87,12601,3,40,0
88,12601,6,37,0
89,12663,2,42,0
90,12697,1,45,0
91,12697,6,51,0
92,12697,8,57,0
93,12697,10,46,0
94,12697,11,84,0
95,12726,2,80,0
96,12726,5,52,0
97,12925,2,55,0
98,12925,3,66,0
99,12925,5,79,0
100,12925,8,89,0
101,12925,12,39,0
102,12926,2,72,0
103,12926,4,57,0
104,12926,11,79,0
105,13429,1,81,0
106,13429,2,40,0
107,13429,5,84,0
108,13429,9,64,0
109,13504,2,41,0
110,13504,5,39,0
111,13504,8,48,1
112,13504,12,48,0
113,13519,5,69,0
114,13533,5,53,0
115,13564,9,43,0
116,13564,11,43,0
117,13599,3,45,0
118,13599,9,74,0
119,13613,2,54,0
120,13613,3,43,0
121,13613,4,86,0
122,13613,5,67,0
123,13613,12,59,0
124,13678,3,69,0
125,13691,3,75,0
126,13691,5,49,0
127,13691,7,46,0
128,13701,7,76,0
129,13701,10,61,0
130,13802,8,88,0
131,13802,10,51,0
132,13816,2,65,0
133,13816,5,76,0
134,13816,8,63,0
135,13816,10,85,0
136,13816,12,62,0
137,13822,10,79,0
138,13822,12,68,0
139,13825,4,77,1
140,13831,9,56,0
141,13831,10,70,0
142,13831,12,48,0
143,13832,6,75,0
144,13832,9,65,0
145,13833,1,54,1
146,13833,5,49,1
147,13833,7,61,1
148,13833,9,39,1
149,13833,11,82,1
150,13833,12,73,0
151,13837,2,46,1
152,13837,10,75,0
153,15016,1,73,0
154,15016,2,57,0
155,15016,4,46,0
156,15037,7,72,0
157,15037,11,70,0
158,15055,4,45,1
159,15055,6,47,0
160,15055,8,62,0
161,15055,9,40,0
162,15091,2,77,0
163,15091,8,57,0
164,15097,3,37,0
165,15097,10,58,0
166,15105,4,88,0
167,15105,9,67,0
168,15177,3,80,0
169,15177,8,87,0
170,15177,12,53,0
171,15196,1,82,0
172,15196,7,77,0
173,15196,8,89,0
174,15209,1,40,0
175,15209,2,87,0
176,15209,4,74,1
177,15209,8,71,0
178,15209,12,41,0
179,15233,6,79,0
180,15307,9,52,0
181,15307,12,40,0
182,15353,6,45,0
183,15353,8,83,1
184,15353,9,42,0
185,15353,11,73,0
186,33717,3,76,1
187,33717,6,42,0
188,33717,10,82,1
189,33717,11,55,0
190,85431,4,67,0
191,85431,9,88,0
192,86204,7,45,0
193,86217,9,39,0
194,86217,10,42,0
195,86217,11,72,0
196,86217,12,57,0
197,90628,5,49,1
198,90628,7,61,0
199,90628,9,49,0
200,90628,11,81,1
201,92433,1,45,0
202,92433,2,51,0
203,92433,8,64,0
204,92433,10,50,0
205,92553,1,72,0
206,92553,4,53,0
207,92553,5,36,1
208,92948,1,76,0
209,92948,5,55,0
210,93112,11,76,0
211,93607,8,84,0
212,93607,10,50,0
213,93607,11,51,0
214,93607,12,84,0
215,96751,3,37,0
216,96751,4,70,0
217,96751,8,81,0
218,96806,4,45,0
219,96806,6,51,1
220,96806,9,43,0
221,96806,10,55,1
222,96806,12,62,0
223,97203,6,42,0
224,97203,9,68,0
225,97203,10,72,0
226,97211,12,67,0
227,99090,6,43,0
228,99090,10,73,0
229,99090,11,38,0
230,99383,1,75,0
231,99383,4,62,0
232,99383,6,74,0
233,101421,1,40,0
234,101421,6,41,1
235,101421,11,80,0
236,102443,5,48,0
237,102443,7,43,0
